start_time,total_flight_time,total_flight_distance,safety_ratio_agent,safety_ratio_obs,vel_excess_ratio,acc_excess_ratio,mapf_time_average,mapf_time_min,mapf_time_max,planning_time_average,planning_time_min,planning_time_max,initial_traj_planning_time,obstacle_prediction_time,goal_planning_time,lsc_generation_time,sfc_generation_time,traj_optimization_time,mission_file_name,world_file_name,planner_mode,goal_mode,mapf_mode,communication_range,world_dimension,M,dt
1663743693.650981,15.8,103.163,1.02089,1e+09,0,0,3.38685e-05,0,0.000586999,0.00825623,0.00462922,0.0271518,1.77482e-06,1.4475e-05,0.000181179,9.43503e-05,0.00132031,0.00663744,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/forest10/forest10_10.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/forest/forest10.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665559788.945477,51.2,155.464,1.00184,1e+09,0,0,2.3406e-05,0,0.000963079,0.00528991,0.00248776,0.0215573,1.92665e-06,2.00288e-05,0.000151822,0.000109574,0.000419853,0.00457941,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665628735.779575,51.2,155.464,1.00184,1e+09,0,0,0.00911511,0,26.8151,0.00835199,0.00454832,0.0264491,1.74608e-06,1.77108e-05,0.00014502,9.91542e-05,0.00107325,0.00700902,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665638338.531781,51.2,155.464,1.00184,1e+09,0,0,2.86148e-05,0,0.000589706,0.0105005,0.00593871,0.0311524,2.09592e-06,2.05365e-05,0.000190378,0.000123718,0.00148143,0.00867452,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665639446.530887,26.2,125.528,1.00355,1e+09,0,0,6.26555e-05,0,0.000936484,0.0173603,0.0079905,0.0386451,2.65017e-06,1.98328e-05,0.000241268,0.000122672,0.00138802,0.0155772,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,3,10,0.2
1665658554.059004,26.8,133.845,1.00355,1e+09,0,0,4.45828e-05,0,0.000839933,0.0186533,0.0109382,0.0501933,2.21507e-06,2.17769e-05,0.000260345,0.000186275,0.00144418,0.0167269,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,3,10,0.2
1665731318.096923,23.6,126.041,1.001,1e+09,0,0,2.95181e-05,0,0.000394573,0.011909,0.00698037,0.0283886,1.61274e-06,1.61773e-05,0.000192095,9.9332e-05,0.00094857,0.0106445,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,3,10,0.2
1665731360.623186,45.4,154.618,1.00276,1e+09,0,0,2.10526e-05,0,0.000424021,0.00726728,0.00399336,0.0244248,1.56557e-06,1.7126e-05,0.00014894,9.73357e-05,0.000870483,0.006126,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665731469.678346,51.2,155.464,1.00184,1e+09,0,0,2.13923e-05,0,0.00042898,0.00749267,0.00382262,0.0267355,1.51833e-06,1.55916e-05,0.0001374,8.7282e-05,0.0010489,0.00619662,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665731553.860078,45.4,154.618,1.00276,1e+09,0,0,2.03588e-05,0,0.000324237,0.00723101,0.00401691,0.023892,1.55559e-06,1.70192e-05,0.00014553,9.48829e-05,0.000887229,0.00607902,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665983502.244245,45.4,154.618,1.00276,1e+09,0,0,2.76501e-05,0,0.000411587,0.010242,0.00586969,0.0280017,1.88558e-06,2.09498e-05,0.000200364,0.000128723,0.0014426,0.0084398,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665985190.586235,34.6,136.925,1.00127,1e+09,0,0,2.9706e-05,0,0.000615801,0.0111156,0.00598403,0.0332118,2.09271e-06,2.22323e-05,0.000238833,0.000140156,0.00161757,0.00908628,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665985294.022924,34.6,136.925,1.00127,1e+09,0,0,2.75775e-05,0,0.00051373,0.01047,0.00598602,0.0307861,1.95557e-06,2.04737e-05,0.00021693,0.000127132,0.00157285,0.00852327,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665985342.221648,23.4,124.704,1.01902,1e+09,0,0,4.12496e-05,0,0.000710682,0.0174914,0.0103008,0.0520214,2.04312e-06,1.99839e-05,0.000257122,0.000130485,0.00167355,0.0153989,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,3,10,0.2
1665985590.015386,23.4,124.704,1.01902,1e+09,0,0,3.48239e-05,0,0.00309132,0.0129394,0.00728214,0.0444212,1.72681e-06,1.71053e-05,0.000214852,0.000106957,0.0012266,0.011365,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,3,10,0.2
1665985664.762714,34.6,136.925,1.00127,1e+09,0,0,2.11374e-05,0,0.000341362,0.00761252,0.00404832,0.0245582,1.56691e-06,1.64736e-05,0.000157283,9.57917e-05,0.00115298,0.00618277,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665985848.403846,32.2,129.572,1.05599,1e+09,7.08067e-06,0,1.83446e-05,0,0.000283331,0.00611364,0.00316374,0.0249831,1.33535e-06,1.31838e-05,0.00015737,7.32341e-05,0.00121217,0.00465128,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,8,0.2
1665985884.974441,57.4,137.951,1.13223,1e+09,0,0,1.65957e-05,0,0.000296652,0.00404976,0.0022538,0.0236893,7.82962e-07,7.94754e-06,0.000152576,4.55109e-05,0.00109332,0.0027461,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,5,0.2
1665985912.888846,34.2,140.578,1.10463,1e+09,0,1.69277e-05,1.87549e-05,0,0.000287156,0.00550599,0.00314805,0.023105,1.07251e-06,1.1168e-05,0.000174432,6.70589e-05,0.00112733,0.00412087,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,7,0.2
1665985938.401971,39.2,139.49,1.03758,1e+09,0,0,1.70614e-05,0,0.000293315,0.00465067,0.00249303,0.0252626,1.01768e-06,1.008e-05,0.000155371,4.62931e-05,0.00112705,0.00330667,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,6,0.2
1665985959.457583,32.2,129.572,1.05599,1e+09,7.08067e-06,0,1.81003e-05,0,0.000279029,0.00607127,0.00316222,0.0243622,1.27592e-06,1.29834e-05,0.000156091,6.98518e-05,0.00121832,0.00460795,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,8,0.2
1665985990.219736,60,157.558,1.08901,1e+09,0,0,1.79018e-05,0,0.000286069,0.00555184,0.00307915,0.0265394,1.24739e-06,1.32237e-05,0.000154975,6.95725e-05,0.00098389,0.00432429,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,8,0.4
1665986015.318701,32.2,129.572,1.05599,1e+09,7.08067e-06,0,1.86516e-05,0,0.000366938,0.00600166,0.00343083,0.0238693,1.28132e-06,1.32917e-05,0.00015974,7.15779e-05,0.00115737,0.00459341,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,8,0.2
1665986039.526277,34.6,136.925,1.00127,1e+09,0,0,2.1344e-05,0,0.000302504,0.00774528,0.00429497,0.0247914,1.5471e-06,1.61218e-05,0.000162608,9.33378e-05,0.00116064,0.00630528,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.2
1665986187.720570,50,146.424,1.08156,1e+09,0,0,1.61978e-05,0,0.000255942,0.00381097,0.0021771,0.0220822,8.38844e-07,8.28499e-06,0.000158395,3.63596e-05,0.00102068,0.00258369,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,5,0.4
1665986217.640186,35.5,136.155,1.02491,1e+09,0,0,2.1586e-05,0,0.00033803,0.00788032,0.0037878,0.0256271,1.58132e-06,1.67999e-05,0.000173751,0.000107566,0.0011361,0.00643831,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,10,0.1
1665986264.578414,28.1,131.205,1.00052,1e+09,5.00679e-06,0,3.08145e-05,0,0.000396517,0.0204569,0.00992724,0.0605308,3.10205e-06,3.28719e-05,0.000143652,0.000169895,0.00114854,0.0189493,/home/jungwon/catkin_ws/src/lsc_dr_planner/missions/maze10_dense/maze10_1.json,/home/jungwon/catkin_ws/src/lsc_dr_planner/world/maze/dense/maze1.csv,LSC,grid_based_planner,pibt,3,2,20,0.1
